iata,lat,lng
SGU,37.036389,-113.510306
DEN,39.861698150635,-104.672996521
EWR,40.692501068115234,-74.168701171875
LGA,40.77719879,-73.87259674
BOS,42.36429977,-71.00520325
BWI,39.1754,-76.668297
ORD,41.9786,-87.9048
MSN,43.13990020751953,-89.3375015258789
LAX,33.94250107,-118.4079971
MUC,48.353802,11.7861
CDG,49.012798,2.55
LHR,51.4706,-0.461941
AUS,30.194499969482422,-97.6698989868164
HNL,21.32062,-157.924228
SFO,37.61899948120117,-122.375
IAH,29.984399795532227,-95.34140014648438
STL,38.748697,-90.370003